gene	pmGene	oldGeneName
cds-PMN2A_RS01135	PMN2A_RS01135	PMN2A_1548
cds-PMN2A_RS09995	PMN2A_RS09995	PMN2A_1092
cds-PMN2A_RS10130	PMN2A_RS10130	PMN2A_2067
cds-WP_006043540.1	PMN2A_RS02495	PMN2A_1807
cds-WP_009788866.1	PMN2A_RS08600	PMN2A_1073
cds-WP_011125327.1-3	PMN2A_RS07920	PMN2A_0941
cds-WP_011125327.1	PMN2A_RS05975	PMN2A_0576
cds-WP_011125758.1	PMN2A_RS08160	PMN2A_0985
cds-WP_011130577.1	PMN2A_RS02855	PMN2A_1878
cds-WP_011293535.1	PMN2A_RS02940	PMN2A_0001
cds-WP_011293536.1	PMN2A_RS02945	PMN2A_0002
cds-WP_011293537.1	PMN2A_RS02950	PMN2A_0003
cds-WP_011293538.1	PMN2A_RS02955	PMN2A_0004
cds-WP_011293539.1	PMN2A_RS02960	PMN2A_0005
cds-WP_011293540.1	PMN2A_RS02970	PMN2A_0006
cds-WP_011293541.1	PMN2A_RS02975	PMN2A_0007
cds-WP_011293542.1	PMN2A_RS02980	PMN2A_0008
cds-WP_011293543.1	PMN2A_RS02985	PMN2A_0009
cds-WP_011293544.1	PMN2A_RS02990	PMN2A_0010
cds-WP_011293546.1	PMN2A_RS03000	PMN2A_0012
cds-WP_011293547.1	PMN2A_RS03005	PMN2A_0013
cds-WP_011293548.1	PMN2A_RS03010	PMN2A_0014
cds-WP_011293549.1	PMN2A_RS03015	PMN2A_0015
cds-WP_011293550.1	PMN2A_RS03020	PMN2A_0016
cds-WP_011293551.1	PMN2A_RS03025	PMN2A_0017
cds-WP_011293552.1	PMN2A_RS03030	PMN2A_0018
cds-WP_011293553.1	PMN2A_RS03035	PMN2A_0019
cds-WP_011293554.1	PMN2A_RS03040	PMN2A_0020
cds-WP_011293555.1	PMN2A_RS03045	PMN2A_0021
cds-WP_011293556.1	PMN2A_RS03050	PMN2A_0022
cds-WP_011293557.1	PMN2A_RS03055	PMN2A_0023
cds-WP_011293558.1	PMN2A_RS03060	PMN2A_0024
cds-WP_011293559.1	PMN2A_RS03065	PMN2A_0025
cds-WP_011293560.1	PMN2A_RS03070	PMN2A_0026
cds-WP_011293561.1	PMN2A_RS03075	PMN2A_0027
cds-WP_011293562.1	PMN2A_RS03080	PMN2A_0028
cds-WP_011293563.1	PMN2A_RS03085	PMN2A_0029
cds-WP_011293564.1	PMN2A_RS03090	PMN2A_0030
cds-WP_011293565.1	PMN2A_RS03095	PMN2A_0031
cds-WP_011293566.1	PMN2A_RS03100	PMN2A_0032
cds-WP_011293567.1	PMN2A_RS03105	PMN2A_0033
cds-WP_011293568.1	PMN2A_RS03110	PMN2A_0034
cds-WP_011293569.1	PMN2A_RS03115	PMN2A_0035
cds-WP_011293570.1	PMN2A_RS03120	PMN2A_0036
cds-WP_011293571.1	PMN2A_RS03125	PMN2A_0037
cds-WP_011293572.1	PMN2A_RS03130	PMN2A_0038
cds-WP_011293573.1	PMN2A_RS03135	PMN2A_0039
cds-WP_011293574.1	PMN2A_RS03140	PMN2A_0040
cds-WP_011293575.1	PMN2A_RS03145	PMN2A_0041
cds-WP_011293576.1	PMN2A_RS03150	PMN2A_0042
cds-WP_011293577.1	PMN2A_RS03155	PMN2A_0043
cds-WP_011293579.1	PMN2A_RS03165	PMN2A_0045
cds-WP_011293580.1	PMN2A_RS03170	PMN2A_0046
cds-WP_011293581.1	PMN2A_RS03175	PMN2A_0047
cds-WP_011293582.1	PMN2A_RS03180	PMN2A_0048
cds-WP_011293583.1	PMN2A_RS03185	PMN2A_0049
cds-WP_011293585.1	PMN2A_RS03195	PMN2A_0051
cds-WP_011293586.1	PMN2A_RS03200	PMN2A_0052
cds-WP_011293588.1	PMN2A_RS03210	PMN2A_0054
cds-WP_011293589.1	PMN2A_RS03215	PMN2A_0055
cds-WP_011293590.1	PMN2A_RS03220	PMN2A_0056
cds-WP_011293591.1	PMN2A_RS03225	PMN2A_0057
cds-WP_011293592.1	PMN2A_RS03230	PMN2A_0058
cds-WP_011293593.1	PMN2A_RS03235	PMN2A_0059
cds-WP_011293594.1	PMN2A_RS03240	PMN2A_0060
cds-WP_011293595.1	PMN2A_RS03245	PMN2A_0061
cds-WP_011293596.1	PMN2A_RS03250	PMN2A_0062
cds-WP_011293597.1	PMN2A_RS03255	PMN2A_0063
cds-WP_011293598.1	PMN2A_RS03260	PMN2A_0064
cds-WP_011293599.1	PMN2A_RS03265	PMN2A_0065
cds-WP_011293600.1	PMN2A_RS03275	PMN2A_0066
cds-WP_011293601.1	PMN2A_RS03280	PMN2A_0067
cds-WP_011293602.1	PMN2A_RS03285	PMN2A_0068
cds-WP_011293603.1	PMN2A_RS03290	PMN2A_0069
cds-WP_011293604.1	PMN2A_RS03295	PMN2A_0070
cds-WP_011293605.1	PMN2A_RS03300	PMN2A_0071
cds-WP_011293606.1	PMN2A_RS03305	PMN2A_0072
cds-WP_011293607.1	PMN2A_RS03310	PMN2A_0073
cds-WP_011293608.1	PMN2A_RS03315	PMN2A_0074
cds-WP_011293609.1	PMN2A_RS03320	PMN2A_0075
cds-WP_011293610.1	PMN2A_RS03325	PMN2A_0076
cds-WP_011293612.1	PMN2A_RS03335	PMN2A_0078
cds-WP_011293613.1	PMN2A_RS03340	PMN2A_0079
cds-WP_011293614.1	PMN2A_RS03345	PMN2A_0080
cds-WP_011293616.1	PMN2A_RS03355	PMN2A_0082
cds-WP_011293617.1	PMN2A_RS03360	PMN2A_0083
cds-WP_011293618.1	PMN2A_RS03365	PMN2A_0084
cds-WP_011293620.1	PMN2A_RS03375	PMN2A_0086
cds-WP_011293621.1	PMN2A_RS03380	PMN2A_0087
cds-WP_011293622.1	PMN2A_RS03385	PMN2A_0088
cds-WP_011293623.1	PMN2A_RS03390	PMN2A_0089
cds-WP_011293624.1	PMN2A_RS03395	PMN2A_0090
cds-WP_011293625.1	PMN2A_RS03405	PMN2A_0091
cds-WP_011293626.1	PMN2A_RS03410	PMN2A_0092
cds-WP_011293627.1	PMN2A_RS03415	PMN2A_0093
cds-WP_011293628.1	PMN2A_RS03420	PMN2A_0094
cds-WP_011293629.1	PMN2A_RS03425	PMN2A_0095
cds-WP_011293630.1	PMN2A_RS03430	PMN2A_0096
cds-WP_011293631.1	PMN2A_RS03435	PMN2A_0097
cds-WP_011293632.1	PMN2A_RS03440	PMN2A_0098
cds-WP_011293633.1	PMN2A_RS03445	PMN2A_0099
cds-WP_011293634.1	PMN2A_RS03450	PMN2A_0100
cds-WP_011293635.1	PMN2A_RS03455	PMN2A_0101
cds-WP_011293636.1	PMN2A_RS03460	PMN2A_0102
cds-WP_011293637.1	PMN2A_RS03465	PMN2A_0103
cds-WP_011293638.1	PMN2A_RS03470	PMN2A_0104
cds-WP_011293639.1	PMN2A_RS03475	PMN2A_0105
cds-WP_011293640.1	PMN2A_RS03480	PMN2A_0106
cds-WP_011293641.1	PMN2A_RS03485	PMN2A_0107
cds-WP_011293642.1	PMN2A_RS03490	PMN2A_0108
cds-WP_011293644.1	PMN2A_RS03500	PMN2A_0110
cds-WP_011293645.1	PMN2A_RS03505	PMN2A_0111
cds-WP_011293646.1	PMN2A_RS03510	PMN2A_0112
cds-WP_011293647.1	PMN2A_RS03515	PMN2A_0113
cds-WP_011293648.1	PMN2A_RS03520	PMN2A_0114
cds-WP_011293649.1	PMN2A_RS03525	PMN2A_0115
cds-WP_011293650.1	PMN2A_RS03530	PMN2A_0116
cds-WP_011293651.1	PMN2A_RS03535	PMN2A_0117
cds-WP_011293652.1	PMN2A_RS03540	PMN2A_0118
cds-WP_011293653.1	PMN2A_RS03545	PMN2A_0119
cds-WP_011293654.1	PMN2A_RS03550	PMN2A_0120
cds-WP_011293655.1	PMN2A_RS03555	PMN2A_0121
cds-WP_011293656.1	PMN2A_RS10065	PMN2A_0122
cds-WP_011293657.1	PMN2A_RS03560	PMN2A_0123
cds-WP_011293658.1	PMN2A_RS03570	PMN2A_0124
cds-WP_011293659.1	PMN2A_RS03575	PMN2A_0125
cds-WP_011293660.1	PMN2A_RS03585	PMN2A_0126
cds-WP_011293661.1	PMN2A_RS03590	PMN2A_0127
cds-WP_011293662.1	PMN2A_RS03595	PMN2A_0128
cds-WP_011293663.1	PMN2A_RS03600	PMN2A_0129
cds-WP_011293664.1	PMN2A_RS03605	PMN2A_0130
cds-WP_011293665.1	PMN2A_RS03610	PMN2A_0131
cds-WP_011293666.1	PMN2A_RS03615	PMN2A_0132
cds-WP_011293667.1	PMN2A_RS03620	PMN2A_0133
cds-WP_011293668.1	PMN2A_RS03625	PMN2A_0134
cds-WP_011293669.1	PMN2A_RS03630	PMN2A_0135
cds-WP_011293670.1	PMN2A_RS03635	PMN2A_0136
cds-WP_011293671.1	PMN2A_RS03640	PMN2A_0137
cds-WP_011293672.1	PMN2A_RS03645	PMN2A_0138
cds-WP_011293673.1	PMN2A_RS03650	PMN2A_0139
cds-WP_011293674.1	PMN2A_RS03655	PMN2A_0140
cds-WP_011293675.1	PMN2A_RS03660	PMN2A_0141
