genome	full_name	source	taxid	MARMICRODBtaxid	level 1	level 2	level 3	level 4	level 5	level 6	level 7	level 8	level 9	level 10	level 11	level 12	domain	taxgroup	taxclade	habitat_source	sequence_type	assembly_ftp	gbk_acc	gtdb_taxonomy
specI-292564	Cyanobium gracile PCC 6307	Mende 2017	292564	292564	Bacteria	Cyanobacteria	Synechococcales	Synechococcaceae	Cyanobium	Cyanobium gracile	Cyanobium gracile PCC 6307						bacteria	synechococcales	NA	aquatic	isolate	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/316/515/GCA_000316515.1_ASM31651v1	GCA_000316515.1	NA
specI-1496688	Cyanobium sp. CACIAM 14	Mende 2017	1496688	1496688	Bacteria	Cyanobacteria	Synechococcales	Synechococcaceae	Cyanobium	Cyanobium sp. CACIAM 14							bacteria	synechococcales	NA	aquatic	isolate	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/708/525/GCA_000708525.1_ASM70852v1	GCA_000708525.1	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Synechococcales_A;f__Cyanobiaceae;g__Cyanobium;s__
specI-180281	Cyanobium sp. PCC 7001	Mende 2017	180281	180281	Bacteria	Cyanobacteria	Synechococcales	Synechococcaceae	Cyanobium	Cyanobium sp. PCC 7001							bacteria	synechococcales	NA	aquatic	isolate	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/155/635/GCA_000155635.1_ASM15563v1	GCA_000155635.1	NA
specI-13035	Dactylococcopsis salina PCC 8305	Mende 2017	13035	13035	Bacteria	Cyanobacteria	Synechococcales	Synechococcaceae	Dactylococcopsis	Dactylococcopsis salina	Dactylococcopsis salina PCC 8305						bacteria	synechococcales	NA	aquatic	isolate	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/317/615/GCA_000317615.1_ASM31761v1	GCA_000317615.1	NA
specI-197221	Thermosynechococcus elongatus BP-1	Mende 2017	197221	197221	Bacteria	Cyanobacteria	Synechococcales	Synechococcaceae	Thermosynechococcus	Thermosynechococcus elongatus	Thermosynechococcus elongatus BP-1						bacteria	synechococcales	NA	aquatic	isolate	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/345/GCA_000011345.1_ASM1134v1	GCA_000011345.1	NA
specI-1394889	Thermosynechococcus sp. NK55a	Mende 2017	1394889	1394889	Bacteria	Cyanobacteria	Synechococcales	Synechococcaceae	Thermosynechococcus	Thermosynechococcus sp. NK55a							bacteria	synechococcales	NA	aquatic	isolate	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/505/665/GCA_000505665.1_ASM50566v1	GCA_000505665.1	NA
ARS1019	Synechococcus sp. ARS1019	Tully 2018	2024878	2183066	Bacteria	Cyanobacteria	Synechococcales	Synechococcaceae:Synechococcus	Synechococcus clade 5.1	Synechococcus subclade 5.1A	Synechococcus sp. ARS1019						bacteria	synechococcus	Syn5.1A	marine	mag	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/690/325/GCA_002690325.1_ASM269032v1	GCA_002690325.1	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Synechococcales_A;f__Cyanobiaceae;g__Synechococcus_C;s__
AG-670-A04	Synechococcus sp. AG-670-A04	Berube 2018	2161937	2183026	Bacteria	Cyanobacteria	Synechococcales	Synechococcaceae:Synechococcus	Synechococcus clade 5.1	Synechococcus subclade 5.1A	Synechococcus subsubclade II	Synechococcus sp. AG-670-A04					bacteria	synechococcus	Syn5.1AII	marine	sag	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/211/565/GCA_003211565.1_ASM321156v1	GCA_003211565.1	NA
AG-670-A19	Synechococcus sp. AG-670-A19	Berube 2018	2161939	2183027	Bacteria	Cyanobacteria	Synechococcales	Synechococcaceae:Synechococcus	Synechococcus clade 5.1	Synechococcus subclade 5.1A	Synechococcus subsubclade II	Synechococcus sp. AG-670-A19					bacteria	synechococcus	Syn5.1AII	marine	sag	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/209/215/GCA_003209215.1_ASM320921v1	GCA_003209215.1	NA
AG-670-B23	Synechococcus sp. AG-670-B23	Berube 2018	2161940	2183028	Bacteria	Cyanobacteria	Synechococcales	Synechococcaceae:Synechococcus	Synechococcus clade 5.1	Synechococcus subclade 5.1A	Synechococcus subsubclade II	Synechococcus sp. AG-670-B23					bacteria	synechococcus	Syn5.1AII	marine	sag	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/209/165/GCA_003209165.1_ASM320916v1	GCA_003209165.1	NA
AG-670-G20	Synechococcus sp. AG-670-G20	Berube 2018	2161944	2183029	Bacteria	Cyanobacteria	Synechococcales	Synechococcaceae:Synechococcus	Synechococcus clade 5.1	Synechococcus subclade 5.1A	Synechococcus subsubclade II	Synechococcus sp. AG-670-G20					bacteria	synechococcus	Syn5.1AII	marine	sag	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/211/455/GCA_003211455.1_ASM321145v1	GCA_003211455.1	NA
CC9605	Synechococcus sp. CC9605	NA	110662	2183030	Bacteria	Cyanobacteria	Synechococcales	Synechococcaceae:Synechococcus	Synechococcus clade 5.1	Synechococcus subclade 5.1A	Synechococcus subsubclade II	Synechococcus sp. CC9605					bacteria	synechococcus	Syn5.1AII	marine	isolate	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/625/GCA_000012625.1_ASM1262v1	GCA_000012625.1	NA
CPC35	Synechococcus sp. CPC35	Tully 2018	2024880	2183031	Bacteria	Cyanobacteria	Synechococcales	Synechococcaceae:Synechococcus	Synechococcus clade 5.1	Synechococcus subclade 5.1A	Synechococcus subsubclade II	Synechococcus sp. CPC35					bacteria	synechococcus	Syn5.1AII	marine	mag	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/684/175/GCA_002684175.1_ASM268417v1	GCA_002684175.1	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Synechococcales_A;f__Cyanobiaceae;g__Synechococcus_C;s__
KORDI-52	Synechococcus sp. KORDI-52	NA	585425	2183032	Bacteria	Cyanobacteria	Synechococcales	Synechococcaceae:Synechococcus	Synechococcus clade 5.1	Synechococcus subclade 5.1A	Synechococcus subsubclade II	Synechococcus sp. KORDI-52					bacteria	synechococcus	Syn5.1AII	marine	isolate	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/737/595/GCA_000737595.1_ASM73759v1	GCA_000737595.1	NA
