AVAIL|ACTIVE_FEATURES|CPUS|TMP_DISK|FREE_MEM|AVAIL_FEATURES|GROUPS|OVERSUBSCRIBE|TIMELIMIT|MEMORY|HOSTNAMES|NODE_ADDR|PRIO_TIER|ROOT|JOB_SIZE|STATE|USER|VERSION|WEIGHT|S:C:T|NODES(A/I) |MAX_CPUS_PER_NODE |CPUS(A/I/O/T) |NODES |REASON |NODES(A/I/O/T) |GRES |TIMESTAMP |PRIO_JOB_FACTOR |DEFAULTTIME |PREEMPT_MODE |NODELIST |CPU_LOAD |PARTITION |PARTITION |ALLOCNODES |STATE |USER |CLUSTER |SOCKETS |CORES |THREADS 
up|node142,centos7|16|0|N/A|node142,centos7|all|NO|15:00|64000|node142|node142|10|no|1-2|drain*|root|N/A|1|2:8:1|0/0 |UNLIMITED |0/0/16/16 |1 |moveto_r4 |0/0/1/1 |(null) |2020-12-18T10:37:31 |10 |n/a |OFF |node142 |N/A |sched_any_quicktest* |sched_any_quicktest |all |drained* |root(0) |N/A |2 |8 |1 
up|node101,centos7|16|0|N/A|node101,centos7|all|NO|15:00|64000|node101|node101|10|no|1-2|comp|Unknown|N/A|1|2:8:1|1/0 |UNLIMITED |0/16/0/16 |1 |none |1/0/0/1 |gpu:1 |Unknown |10 |n/a |OFF |node101 |0.26 |sched_any_quicktest* |sched_any_quicktest |all |completing |Unknown |N/A |2 |8 |1 
up|node145,centos7|16|0|N/A|node145,centos7|all|NO|15:00|64000|node145|node145|10|no|1-2|drain|root|N/A|1|2:8:1|0/0 |UNLIMITED |0/0/16/16 |1 |lustre_issues |0/0/1/1 |gpu:1 |2022-02-10T09:52:15 |10 |n/a |OFF |node145 |0.02 |sched_any_quicktest* |sched_any_quicktest |all |drained |root(0) |N/A |2 |8 |1 
up|node028,centos7|16|0|N/A|node028,centos7|all|NO|15:00|64000|node028|node028|10|no|1-2|idle|root|N/A|1|2:8:1|0/1 |UNLIMITED |0/16/0/16 |1 |none |0/1/0/1 |gpu:1 |Unknown |10 |n/a |OFF |node028 |0.01 |sched_any_quicktest* |sched_any_quicktest |all |idle |root(0) |N/A |2 |8 |1 
up|node029,centos7|16|0|N/A|node029,centos7|all|NO|15:00|64000|node029|node029|10|no|1-2|idle|root|N/A|1|2:8:1|0/1 |UNLIMITED |0/16/0/16 |1 |none |0/1/0/1 |gpu:1 |Unknown |10 |n/a |OFF |node029 |0.01 |sched_any_quicktest* |sched_any_quicktest |all |idle |root(0) |N/A |2 |8 |1 
up|node279,centos7|20|0|N/A|node279,centos7|all|NO|15:00|64000|node279|node279|10|no|1-2|idle|Unknown|N/A|1|2:10:1|0/1 |UNLIMITED |0/20/0/20 |1 |none |0/1/0/1 |(null) |Unknown |10 |n/a |OFF |node279 |0.06 |sched_any_quicktest* |sched_any_quicktest |all |idle |Unknown |N/A |2 |10 |1 
up|node023,centos7|16|0|N/A|node023,centos7|all|NO|12:00:00|64000|node023|node023|10|no|1-infinite|drain*|root|N/A|1|2:8:1|0/0 |UNLIMITED |0/0/16/16 |1 |pcie_slot4_error |0/0/1/1 |gpu:1 |2021-08-27T14:08:17 |10 |n/a |OFF |node023 |N/A |sched_any |sched_any |all |drained* |root(0) |N/A |2 |8 |1 
up|node024,centos7|16|0|N/A|node024,centos7|all|NO|12:00:00|64000|node024|node024|10|no|1-infinite|drain*|root|N/A|1|2:8:1|0/0 |UNLIMITED |0/0/16/16 |1 |parts_machine |0/0/1/1 |gpu:1 |2021-01-22T09:50:13 |10 |n/a |OFF |node024 |N/A |sched_any |sched_any |all |drained* |root(0) |N/A |2 |8 |1 
up|node087,centos7|16|0|N/A|node087,centos7|all|NO|12:00:00|64000|node087|node087|10|no|1-infinite|drain*|root|N/A|1|2:8:1|0/0 |UNLIMITED |0/0/16/16 |1 |check_ib_card |0/0/1/1 |gpu:1 |2021-10-05T08:30:19 |10 |n/a |OFF |node087 |N/A |sched_any |sched_any |all |drained* |root(0) |N/A |2 |8 |1 
up|node122,centos7|16|0|N/A|node122,centos7|all|NO|12:00:00|64000|node122|node122|10|no|1-infinite|drain*|root|N/A|1|2:8:1|0/0 |UNLIMITED |0/0/16/16 |1 |replace_disk |0/0/1/1 |(null) |2022-03-08T07:48:18 |10 |n/a |OFF |node122 |N/A |sched_any |sched_any |all |drained* |root(0) |N/A |2 |8 |1 
