Proteins	GO terms (biological process)	GO terms (cellular component)	GO terms (molecular function)	"Genes of polypeptide, complex, or RNA"	Pathways of enzyme	UniProt-via-RefSeq	NCBI-Protein	Data-Source	Pfam
preprotein translocase subunit SecE	intracellular protein transmembrane transport // protein transport by the Sec complex // protein transport // protein secretion // intracellular protein transport // protein targeting	thylakoid membrane // integral component of membrane // membrane // thylakoid // plasma membrane	P-P-bond-hydrolysis-driven protein transmembrane transporter activity // protein transmembrane transporter activity	secE		WP_011862249.1	WP_011862249.1		PF00584
Fe-S cluster assembly ATPase SufC			ATPase // ATP binding // nucleotide binding	sufC		WP_011862111.1	WP_011862111.1		PF00005
DUF2358 domain-containing protein				P9301_RS17800		WP_011863740.1	WP_011863740.1		PF12680
30S ribosomal protein S1		ribosome	nucleic acid binding	P9301_RS10745		WP_011862349.1	WP_011862349.1		PF00575
thioredoxin-disulfide reductase	cell redox homeostasis // removal of superoxide radicals	cytoplasm	oxidoreductase activity // thioredoxin-disulfide reductase activity	trxB	thioredoxin pathway	WP_011863277.1	WP_011863277.1		PF07992
Crp/Fnr family transcriptional regulator	"regulation of transcription, DNA-templated"		DNA-binding transcription factor activity // DNA binding	P9301_RS13260		WP_011862839.1	WP_011862839.1		PF13545
aldehyde-deformylating oxygenase			aldehyde oxygenase (deformylating) activity // aldehyde decarbonylase activity // transition metal ion binding // metal ion binding // lyase activity // octadecanal decarbonylase activity	adoA	alkane biosynthesis I	WP_041484747.1	WP_041484747.1		PF11266
DUF3153 domain-containing protein		integral component of membrane // membrane		P9301_RS11645		WP_011862518.1	WP_011862518.1		PF11353
formate-dependent phosphoribosylglycinamide formyltransferase	purine ribonucleotide biosynthetic process // 'de novo' IMP biosynthetic process // purine nucleotide biosynthetic process		"metal ion binding // phosphoribosylglycinamide formyltransferase 2 activity // hydroxymethyl-, formyl- and related transferase activity // transferase activity // ATP binding // phosphoribosylglycinamide formyltransferase activity // magnesium ion binding // nucleotide binding"	purT		WP_011863055.1	WP_011863055.1		PF02222
DUF2973 domain-containing protein				P9301_RS09600		WP_011862134.1	WP_011862134.1		PF11189
ATP-binding cassette domain-containing protein			ATPase // hydrolase activity // ATP binding // nucleotide binding	P9301_RS12985		WP_011862789.1	WP_011862789.1		PF00005
hypothetical protein				P9301_RS15575		WP_041484712.1	WP_041484712.1		
ABC transporter ATP-binding protein			ATPase // hydrolase activity // ATP binding // nucleotide binding	P9301_RS12610		WP_011862707.1	WP_011862707.1		PF00005
ribulose-phosphate 3-epimerase	pentose-phosphate shunt // carbohydrate metabolic process		"metal ion binding // racemase and epimerase activity, acting on carbohydrates and derivatives // isomerase activity // ribulose-phosphate 3-epimerase activity // catalytic activity"	rpe	pentose phosphate pathway // oxygenic photosynthesis // Rubisco shunt // pentose phosphate pathway (non-oxidative branch) // Calvin-Benson-Bassham cycle	WP_011862803.1	WP_011862803.1		PF00834
glutathione S-transferase family protein			transferase activity // glutathione transferase activity	P9301_RS10270		WP_011862264.1	WP_011862264.1		PF13409
prepilin peptidase	methylation // proteolysis	integral component of membrane // membrane	hydrolase activity // transferase activity // methyltransferase activity // aspartic-type endopeptidase activity	P9301_RS12465		WP_144038828.1	WP_144038828.1		PF06750
Protoporphyrin IX Mg-chelatase subunit				chlH		WP_011863003.1	WP_011863003.1		PF11965
hypothetical protein				P9301_RS16630		WP_011863525.1	WP_011863525.1		
50S ribosomal protein L32	translation	large ribosomal subunit // ribosome	structural constituent of ribosome	rpmF		WP_002805281.1	WP_002805281.1		PF01783
rod shape-determining protein RodA	cell wall organization // cell division // peptidoglycan biosynthetic process // regulation of cell shape	integral component of membrane // membrane // integral component of plasma membrane // plasma membrane	"transferase activity, transferring glycosyl groups // transferase activity // peptidoglycan glycosyltransferase activity"	rodA		WP_011863682.1	WP_011863682.1		PF01098
glycine zipper 2TM domain-containing protein		outer membrane		P9301_RS13480		WP_041484683.1	WP_041484683.1		PF05433
50S ribosomal protein L18	translation	ribosome	rRNA binding // structural constituent of ribosome // RNA binding	rplR		WP_011863649.1	WP_011863649.1		PF00861
hypothetical protein				P9301_RS12905		WP_011862773.1	WP_011862773.1		
J domain-containing protein		integral component of membrane // membrane		P9301_RS16935		WP_011863584.1	WP_011863584.1		PF00226
nucleotide exchange factor GrpE	regulation of catalytic activity // protein folding	cytoplasm	chaperone binding // protein homodimerization activity // adenyl-nucleotide exchange factor activity	grpE		WP_011862043.1	WP_011862043.1		PF01025
TIGR01777 family protein	cell division		catalytic activity	P9301_RS09750		WP_011862163.1	WP_011862163.1		PF01370
4-amino-4-deoxychorismate lyase				pabC	superpathway of tetrahydrofolate biosynthesis and salvage // superpathway of tetrahydrofolate biosynthesis // 4-aminobenzoate biosynthesis	WP_011863789.1	WP_011863789.1		PF01063
Glycine cleavage system protein P				gcvP	folate transformations III (<i>E. coli</i>) // glycine cleavage	WP_011863763.1	WP_011863763.1		PF02347
endonuclease MutS2	nucleic acid phosphodiester bond hydrolysis // negative regulation of DNA recombination // mismatch repair		mismatched DNA binding // ATPase // hydrolase activity // ATP binding // endonuclease activity // nuclease activity // DNA binding // nucleotide binding	mutS2		WP_011862261.1	WP_011862261.1		PF00488
guanylate kinase	GDP metabolic process // GMP metabolic process // phosphorylation // purine nucleotide metabolic process	cytoplasm	transferase activity // kinase activity // ATP binding // guanylate kinase activity // nucleotide binding	gmk	superpathway of guanosine nucleotides <i>de novo</i> biosynthesis I // superpathway of purine nucleotides <i>de novo</i> biosynthesis I // guanosine ribonucleotides <i>de novo</i> biosynthesis	WP_011862489.1	WP_011862489.1		PF00625
trigger factor	cell division // protein transport // cell cycle // protein folding // protein peptidyl-prolyl isomerization	cytoplasm	isomerase activity // peptidyl-prolyl cis-trans isomerase activity	tig		WP_011863752.1	WP_011863752.1		PF05697
ribose-phosphate pyrophosphokinase	cellular biosynthetic process // phosphorylation // nucleotide biosynthetic process // ribonucleoside monophosphate biosynthetic process // nucleoside metabolic process // 5-phosphoribose 1-diphosphate biosynthetic process	cytoplasm	metal ion binding // transferase activity // kinase activity // ATP binding // ribose phosphate diphosphokinase activity // magnesium ion binding // nucleotide binding	prsA	PRPP biosynthesis	WP_011863138.1	WP_011863138.1		PF13793
