NCBI ID	NCBI ID_2	NCBI ID_3	Gene Name	Genbank Annotation	RAST annotation	Response of Synechococcus elongatus PCC7942 homolog to darkness
NATL2_00001	PMN2A_RS00015	PMN2A_1328	dnaN	DNA polymerase III subunit beta	DNA polymerase III beta subunit (EC 2.7.7.7)	
NATL2_00011	PMN2A_RS00020	PMN2A_1329		hypothetical protein	RNA metabolism-related protein	
NATL2_00021	PMN2A_RS00025	PMN2A_1330	purL	phosphoribosylformylglycinamidine synthase subunit PurL	"Phosphoribosylformylglycinamidine synthase, synthetase subunit (EC 6.3.5.3)"	
NATL2_00031	PMN2A_RS00030	PMN2A_1331	purF	amidophosphoribosyltransferase	Amidophosphoribosyltransferase (EC 2.4.2.14)	
NATL2_00041	PMN2A_RS00035	PMN2A_1332	gyrA	topoisomerase IV	DNA gyrase subunit A (EC 5.99.1.3)	
NATL2_00051	PMN2A_RS00040	PMN2A_1333		hypothetical protein	FIG00940173: hypothetical protein	
NATL2_00061	PMN2A_RS00045	PMN2A_1334	queG	epoxyqueuosine reductase	Epoxyqueuosine (oQ) reductase QueG	
NATL2_00071	PMN2A_RS00050	PMN2A_1335		hypothetical protein	Transporter	
NATL2_00081	PMN2A_RS00055	PMN2A_1336	nusB	transcription antitermination protein NusB	Transcription termination protein NusB	
NATL2_00091	PMN2A_RS00060	PMN2A_1337	ftsY	cell division protein FtsY	Signal recognition particle receptor protein FtsY (=alpha subunit) (TC 3.A.5.1.1)	
NATL2_00101	PMN2A_RS00065	PMN2A_1338	rsbU	serine phosphatase	"Serine phosphatase RsbU, regulator of sigma subunit"	
NATL2_00111	PMN2A_RS00070	PMN2A_1339	argH	argininosuccinate lyase	Argininosuccinate lyase (EC 4.3.2.1)	
NATL2_00121	PMN2A_RS00075	PMN2A_1340	ssb	RNA-binding protein	Single-stranded DNA-binding protein	
NATL2_00131	PMN2A_RS00080	PMN2A_1341		tRNA-dihydrouridine synthase A	tRNA dihydrouridine synthase A	
NATL2_00141	PMN2A_RS00085	PMN2A_1342	msrB	methionine sulfoxide reductase B	Peptide methionine sulfoxide reductase MsrB (EC 1.8.4.12)	
NATL2_00151	PMN2A_RS00090	PMN2A_1343	grpE	protein GrpE	Heat shock protein GrpE	
NATL2_00161	PMN2A_RS00095	PMN2A_1344	dnaJ	molecular chaperone DnaJ	Chaperone protein DnaJ	
NATL2_00171	PMN2A_RS00100	PMN2A_1345		hypothetical protein	FIG00940904: hypothetical protein	
NATL2_00191	PMN2A_RS00110	PMN2A_1347		nucleoid-associated protein	FIG00940521: hypothetical protein	
NATL2_00211	PMN2A_RS00120	PMN2A_1349	murC	UDP-N-acetylmuramate--alanine ligase	UDP-N-acetylmuramate--alanine ligase (EC 6.3.2.8)	
NATL2_00221	PMN2A_RS00125	PMN2A_1350	gapA	glyceraldehyde-3-phosphate dehydrogenase	NADPH-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.13)	
NATL2_00231	PMN2A_RS00130	PMN2A_1351	thiL	thiamine monophosphate kinase	Thiamine-monophosphate kinase (EC 2.7.4.16)	
NATL2_00241	PMN2A_RS00135	PMN2A_1352		peptidyl-prolyl cis-trans isomerase	Peptidyl-prolyl cis-trans isomerase	
NATL2_00251	PMN2A_RS00140	PMN2A_1353	efp	elongation factor P	Translation elongation factor P	
NATL2_00261	PMN2A_RS00145	PMN2A_1354	accB	carboxylesterase	Biotin carboxyl carrier protein of acetyl-CoA carboxylase	
NATL2_00271	PMN2A_RS00150	PMN2A_1355	pdxA	4-hydroxythreonine-4-phosphate dehydrogenase	4-hydroxythreonine-4-phosphate dehydrogenase (EC 1.1.1.262)	
NATL2_00281	PMN2A_RS00155	PMN2A_1356		oxidoreductase	Nucleoside-diphosphate-sugar epimerases	
NATL2_00301	PMN2A_RS00165	PMN2A_1358		HNH nuclease	HNH endonuclease:HNH nuclease	
NATL2_00311	PMN2A_RS00170	PMN2A_1359		hypothetical protein	possible Bacterial type II secretion system protein	
NATL2_00321	PMN2A_RS00175	PMN2A_1360		hypothetical protein	FIG00942613: hypothetical protein	
NATL2_00331	PMN2A_RS00180	PMN2A_1361	spt	class V aminotransferase	Serine--glyoxylate aminotransferase (EC 2.6.1.45)	
NATL2_00341	PMN2A_RS00185	PMN2A_1362	cbiD	Cobalt-precorrin-5B C(1)-methyltransferase	"Cobalt-precorrin-6 synthase, anaerobic"	
NATL2_00351	PMN2A_RS00190	PMN2A_1363	guaA	GMP synthase [glutamine-hydrolyzing]	"GMP synthase [glutamine-hydrolyzing], amidotransferase subunit (EC 6.3.5.2) / GMP synthase [glutamine-hydrolyzing], ATP pyrophosphatase subunit (EC 6.3.5.2)"	
NATL2_00361	PMN2A_RS00195	PMN2A_1364		hypothetical protein	hypothetical protein	
NATL2_00371	PMN2A_RS00200	PMN2A_1365		hypothetical protein	restriction endonuclease	
NATL2_00381	PMN2A_RS00205	PMN2A_1366		hypothetical protein	Translation elongation factor P	
NATL2_00391	PMN2A_RS00210	PMN2A_1367		hypothetical protein	FIG00943198: hypothetical protein	
NATL2_00401	PMN2A_RS00215	PMN2A_1368		potassium transporter Kef	"Potassium voltage-gated channel subfamily KQT; possible potassium channel, VIC family"	
NATL2_00411	PMN2A_RS00220	PMN2A_1369		hypothetical protein	FIG00943640: hypothetical protein	
NATL2_00421	PMN2A_RS00225	PMN2A_1370		hypothetical protein	FIG00940220: hypothetical protein	
NATL2_00431	PMN2A_RS00230	PMN2A_1371		membrane protein	FIG00940093: hypothetical protein	
NATL2_00441	PMN2A_RS00235	PMN2A_1372		hypothetical protein	FIG00941294: hypothetical protein	
NATL2_00451	PMN2A_RS00240	PMN2A_1373	ftsI	penicillin-binding protein	Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129)	
NATL2_00461	PMN2A_RS00245	PMN2A_1374		reductase	Possible reductase	
NATL2_00471	PMN2A_RS00250	PMN2A_1375		flavin oxidoreductase	Diflavin flavoprotein SYNW2368	
NATL2_00481	PMN2A_RS00255	PMN2A_1376		DeoR family transcriptional regulator	Diflavin flavoprotein SYNW2367	
NATL2_00491	PMN2A_RS00260	PMN2A_1377	alaS	alanine--tRNA ligase	Alanyl-tRNA synthetase (EC 6.1.1.7)	
NATL2_00501	PMN2A_RS00265	PMN2A_1378	speA	arginine decarboxylase	Biosynthetic arginine decarboxylase (EC 4.1.1.19)	
NATL2_00511	PMN2A_RS00270	PMN2A_1379	ndk	nucleoside diphosphate kinase	Nucleoside diphosphate kinase (EC 2.7.4.6)	
NATL2_00521	PMN2A_RS00275	PMN2A_1380	thiO	amino acid oxidase	Glycine oxidase ThiO (EC 1.4.3.19)	
NATL2_00531	PMN2A_RS00280	PMN2A_1381	gatB	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B	Aspartyl-tRNA(Asn) amidotransferase subunit B (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit B (EC 6.3.5.7)	
NATL2_00541	PMN2A_RS00285	PMN2A_1382	coaE	dephospho-CoA kinase	Dephospho-CoA kinase (EC 2.7.1.24)	
NATL2_00551	PMN2A_RS00290	PMN2A_1383	argJ	arginine biosynthesis protein ArgJ	Glutamate N-acetyltransferase (EC 2.3.1.35) / N-acetylglutamate synthase (EC 2.3.1.1)	
NATL2_00561	PMN2A_RS00295	PMN2A_1384		hypothetical protein	FIG00944767: hypothetical protein	
NATL2_00571	PMN2A_RS00300	PMN2A_1385		hypothetical protein	FIG00944767: hypothetical protein	
NATL2_00581	PMN2A_RS00305	PMN2A_1386		cupin	Predicted enzyme of the cupin superfamily	
NATL2_00591	PMN2A_RS00310	PMN2A_1897		hypothetical protein	hypothetical protein	
NATL2_00601	PMN2A_RS00315	PMN2A_1387		hypothetical protein	hypothetical protein	
NATL2_00611	PMN2A_RS00320	PMN2A_1388		hypothetical protein	hypothetical protein	
NATL2_00621		PMN2A_1389			FIG00944767: hypothetical protein	
NATL2_00641	PMN2A_RS00330	PMN2A_1390	cynS	cyanate hydratase	Cyanate hydratase (EC 4.2.1.104)	
NATL2_00651		PMN2A_1391			FIG00944767: hypothetical protein	
NATL2_00661		PMN2A_1392			hypothetical protein	
NATL2_00671	PMN2A_RS00340	PMN2A_1393		hypothetical protein	FIG00943449: hypothetical protein	
NATL2_00681		PMN2A_1899			FIG00941197: hypothetical protein	
NATL2_00691		PMN2A_1900			FIG00944546: hypothetical protein	
NATL2_00701	PMN2A_RS00350	PMN2A_1901		hypothetical protein	hypothetical protein	
NATL2_00711		PMN2A_1902			FIG00941933: hypothetical protein	
NATL2_00721	PMN2A_RS00355	PMN2A_1394		hypothetical protein	FIG00943756: hypothetical protein	
NATL2_00731	PMN2A_RS00360	PMN2A_1395		hypothetical protein	hypothetical protein	
NATL2_00741	PMN2A_RS00365	PMN2A_1396		hypothetical protein	FIG00942454: hypothetical protein	
NATL2_00751	PMN2A_RS00370	PMN2A_1903		hypothetical protein	FIG00943368: hypothetical protein	
NATL2_00761	PMN2A_RS00375	PMN2A_1397		hypothetical protein	FIG00941271: hypothetical protein	
NATL2_00771	PMN2A_RS00380	PMN2A_1398		hypothetical protein	FIG00942859: hypothetical protein	
NATL2_00781	PMN2A_RS00385	PMN2A_1399		hypothetical protein	FIG00940768: hypothetical protein	
NATL2_00791	PMN2A_RS00390	PMN2A_1400		hypothetical protein	FIG00941791: hypothetical protein	
NATL2_00801	PMN2A_RS00395	PMN2A_1401		hypothetical protein	FIG00943960: hypothetical protein	
NATL2_00811	PMN2A_RS00400	PMN2A_1402		hypothetical protein	FIG00942068: hypothetical protein	
NATL2_00821	PMN2A_RS00405	PMN2A_1403		peptidyl-prolyl cis-trans isomerase	FIG00941271: hypothetical protein	
NATL2_00831	PMN2A_RS00410	PMN2A_1404		high light inducible protein	hypothetical protein	
NATL2_00841		PMN2A_1405			FIG00944113: hypothetical protein	
NATL2_00851	PMN2A_RS00415	PMN2A_1406		hypothetical protein	hypothetical protein	
NATL2_00861	PMN2A_RS00420	PMN2A_1407		hypothetical protein	FIG00944128: hypothetical protein	
NATL2_00881	PMN2A_RS00430	PMN2A_1409		hypothetical protein	FIG00943300: hypothetical protein	
NATL2_00891	PMN2A_RS00435	PMN2A_1410	parA	chromosome partitioning protein ParA	hypothetical protein	
NATL2_00901	PMN2A_RS00440	PMN2A_1411		multidrug ABC transporter ATPase	Phospholipid-lipopolysaccharide ABC transporter	
NATL2_00911	PMN2A_RS00445	PMN2A_1412		hypothetical protein	possible Sema domain	
NATL2_00921	PMN2A_RS00450	PMN2A_1413		glycosyl transferase family 1	Glycosyltransferase	
NATL2_00931		PMN2A_1904			FIG00940274: hypothetical protein	
NATL2_00941	PMN2A_RS00455	PMN2A_1414		hypothetical protein	FIG00941408: hypothetical protein	
NATL2_00951		PMN2A_1905			FIG00941058: hypothetical protein	
NATL2_00961	PMN2A_RS00460	PMN2A_1906		hypothetical protein	hypothetical protein	
NATL2_00971	PMN2A_RS00465	PMN2A_1415		RNA methyltransferase	putative RNA methylase family UPF0020	
NATL2_00991	PMN2A_RS00475	PMN2A_1417		hypothetical protein	FIG00941501: hypothetical protein	
NATL2_01001					FIG00941157: hypothetical protein	
NATL2_01011	PMN2A_RS00480	PMN2A_1419		hypothetical protein	FIG00940739: hypothetical protein	
