	proMS	co-cultures	product	seq_id	source	type	start	end	score	strand	phase	attributes	Name	eC_number	gene	inference	locus_tag	note	organism	Dbxref	Note	Parent	anticodon	bound_moiety	end_range	gbkey	gene_biotype	gene_synonym	genome	mol_type	old_locus_tag	partial	protein_id	pseudo	regulatory_class	start_range	strain	transl_table
MIT9301_01230	2.743098269873292	-0.9814583221543088	tRNA-Pro(tgg)	MIT9301_1	Aragorn:1.2	tRNA	1045700	1045774	.	+	.	ID=MIT9301_01230;inference=COORDINATES:profile:Aragorn:1.2;locus_tag=MIT9301_01230;product=tRNA-Pro(tgg)				COORDINATES:profile:Aragorn:1.2	MIT9301_01230		MIT9301																			
MIT9301_00355	1.8138386694488184	-0.3130076564958158	23S ribosomal RNA	MIT9301_1	barrnap:0.7	rRNA	324619	327490	0	+	.	ID=MIT9301_00355;locus_tag=MIT9301_00355;product=23S ribosomal RNA					MIT9301_00355		MIT9301																			
MIT9301_01127	-1.6377474954215414	1.400271650365742	hypothetical protein	MIT9301_1	Prodigal:2.6	CDS	948265	948549	.	-	0	ID=MIT9301_01127;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO17748.1;locus_tag=MIT9301_01127;note=Conserved hypothetical protein;product=hypothetical protein				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO17748.1	MIT9301_01127	Conserved hypothetical protein	MIT9301																			
MIT9301_00043	-2.80017931764829	2.73634290358461	hypothetical protein	MIT9301_1	Prodigal:2.6	CDS	42990	43133	.	+	0	ID=MIT9301_00043;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO16665.1;locus_tag=MIT9301_00043;note=Conserved hypothetical protein;product=hypothetical protein				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO16665.1	MIT9301_00043	Conserved hypothetical protein	MIT9301																			
MIT9301_00183	-1.8740119029064288	1.7939593431081282	hypothetical protein	MIT9301_1	Prodigal:2.6	CDS	168383	169843	.	-	0	ID=MIT9301_00183;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO16805.1;locus_tag=MIT9301_00183;note=Conserved hypothetical protein;product=hypothetical protein				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO16805.1	MIT9301_00183	Conserved hypothetical protein	MIT9301																			
MIT9301_01572	-1.6489736396185573	1.804130333874788	hypothetical protein	MIT9301_1	Prodigal:2.6	CDS	1325840	1325995	.	+	0	ID=MIT9301_01572;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABV51226.1;locus_tag=MIT9301_01572;note=Conserved hypothetical protein;product=hypothetical protein				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABV51226.1	MIT9301_01572	Conserved hypothetical protein	MIT9301																			
MIT9301_01240	-0.9631622662748426	1.1575348991708168	histidine kinase	MIT9301_1	Prodigal:2.6	CDS	1054684	1055838	.	-	0	ID=MIT9301_01240;eC_number=2.7.13.3;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABB49778.1;locus_tag=MIT9301_01240;product=histidine kinase		2.7.13.3		ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABB49778.1	MIT9301_01240		MIT9301																			
MIT9301_00225	0.6472977646184499	-0.5723781354034316	50S ribosomal protein L11	MIT9301_1	Prodigal:2.6	CDS	207753	208178	.	-	0	ID=MIT9301_00225;Name=rplK;gene=rplK;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABM79507.1;locus_tag=MIT9301_00225;product=50S ribosomal protein L11	rplK		rplK	ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABM79507.1	MIT9301_00225		MIT9301																			
MIT9301_00352	2.089242645765787	-0.4204770364954679	16S ribosomal RNA	MIT9301_1	barrnap:0.7	rRNA	322593	324072	0	+	.	ID=MIT9301_00352;locus_tag=MIT9301_00352;product=16S ribosomal RNA					MIT9301_00352		MIT9301																			
MIT9301_00543	-1.2199244089650954	1.548630235613825	hypothetical protein	MIT9301_1	Prodigal:2.6	CDS	472927	473355	.	+	0	ID=MIT9301_00543;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABV50213.1;locus_tag=MIT9301_00543;note=Conserved hypothetical protein;product=hypothetical protein				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABV50213.1	MIT9301_00543	Conserved hypothetical protein	MIT9301																			
